"Date","Price","Open","High","Low","Vol.","Change %"
"May 29, 2020","317.94","319.25","321.15","316.47","38.40M","-0.10%"
"May 28, 2020","318.25","316.77","323.44","315.63","33.45M","0.04%"
"May 27, 2020","318.11","316.14","318.71","313.09","28.24M","0.44%"
"May 26, 2020","316.73","323.50","324.24","316.50","31.38M","-0.68%"
"May 22, 2020","318.89","315.77","319.23","315.35","20.45M","0.64%"
"May 21, 2020","316.85","318.66","320.89","315.87","25.67M","-0.75%"
"May 20, 2020","319.23","316.68","319.52","316.20","27.88M","1.94%"
"May 19, 2020","313.14","315.03","318.52","313.01","25.43M","-0.58%"
"May 18, 2020","314.96","313.17","316.50","310.32","33.84M","2.36%"
"May 15, 2020","307.71","300.35","307.90","300.21","41.59M","-0.59%"
"May 14, 2020","309.54","304.51","309.79","301.53","39.73M","0.61%"
"May 13, 2020","307.65","312.15","315.95","303.21","50.16M","-1.21%"
"May 12, 2020","311.41","317.83","319.69","310.91","40.58M","-1.14%"
"May 11, 2020","315.01","308.10","317.05","307.24","36.49M","1.57%"
"May 08, 2020","310.13","305.64","310.35","304.29","33.51M","2.10%"
"May 07, 2020","303.74","303.22","305.17","301.97","28.80M","1.03%"
"May 06, 2020","300.63","300.46","303.24","298.87","35.58M","1.03%"
"May 05, 2020","297.56","295.06","301.00","294.46","36.94M","1.50%"
"May 04, 2020","293.16","289.17","293.69","286.32","33.39M","1.41%"
"May 01, 2020","289.07","286.25","299.00","285.85","60.15M","-1.61%"
"Apr 30, 2020","293.80","289.96","294.53","288.35","45.77M","2.11%"
"Apr 29, 2020","287.73","284.73","289.67","283.89","34.32M","3.28%"
"Apr 28, 2020","278.58","285.08","285.83","278.20","28.00M","-1.62%"
"Apr 27, 2020","283.17","281.80","284.54","279.95","29.27M","0.07%"
"Apr 24, 2020","282.97","277.20","283.01","277.00","31.63M","2.89%"
"Apr 23, 2020","275.03","275.87","281.75","274.87","31.20M","-0.39%"
"Apr 22, 2020","276.10","273.61","277.90","272.20","29.26M","2.88%"
"Apr 21, 2020","268.37","276.28","277.25","265.43","45.25M","-3.09%"
"Apr 20, 2020","276.93","277.95","281.68","276.85","32.50M","-2.08%"
"Apr 17, 2020","282.80","284.69","286.95","276.86","53.81M","-1.36%"
"Apr 16, 2020","286.69","287.38","288.20","282.35","39.28M","0.79%"
"Apr 15, 2020","284.43","282.40","286.33","280.63","32.79M","-0.91%"
"Apr 14, 2020","287.05","280.00","288.25","278.05","48.75M","5.05%"
"Apr 13, 2020","273.25","268.31","273.70","265.83","32.76M","1.96%"
"Apr 09, 2020","267.99","268.70","270.07","264.70","40.53M","0.72%"
"Apr 08, 2020","266.07","262.74","267.37","261.23","42.22M","2.56%"
"Apr 07, 2020","259.43","270.80","271.70","259.00","50.72M","-1.16%"
"Apr 06, 2020","262.47","250.90","263.11","249.38","50.46M","8.72%"
"Apr 03, 2020","241.41","242.80","245.70","238.97","32.47M","-1.44%"
"Apr 02, 2020","244.93","240.34","245.15","236.90","41.48M","1.67%"
"Apr 01, 2020","240.91","246.50","248.72","239.13","44.05M","-5.26%"
"Mar 31, 2020","254.29","255.60","262.49","252.00","49.25M","-0.20%"
"Mar 30, 2020","254.81","250.74","255.52","249.40","41.99M","2.85%"
"Mar 27, 2020","247.74","252.75","255.87","247.05","51.05M","-4.14%"
"Mar 26, 2020","258.44","246.52","258.68","246.36","63.14M","5.26%"
"Mar 25, 2020","245.52","250.75","258.25","244.30","75.90M","-0.55%"
"Mar 24, 2020","246.88","236.36","247.69","234.30","71.88M","10.03%"
"Mar 23, 2020","224.37","228.08","228.50","212.61","84.19M","-2.12%"
"Mar 20, 2020","229.24","247.18","251.83","228.00","100.42M","-6.35%"
"Mar 19, 2020","244.78","247.38","252.84","242.61","67.96M","-0.77%"
"Mar 18, 2020","246.67","239.77","250.00","237.12","75.06M","-2.45%"
"Mar 17, 2020","252.86","247.51","257.61","238.40","81.01M","4.40%"
"Mar 16, 2020","242.21","241.95","259.08","240.00","80.61M","-12.86%"
"Mar 13, 2020","277.97","264.89","279.92","252.95","92.68M","11.98%"
"Mar 12, 2020","248.23","255.94","270.00","248.00","104.62M","-9.88%"
"Mar 11, 2020","275.43","277.39","281.22","271.86","64.09M","-3.47%"
"Mar 10, 2020","285.34","277.14","286.44","269.37","71.32M","7.20%"
"Mar 09, 2020","266.17","263.75","278.09","263.00","71.69M","-7.91%"
"Mar 06, 2020","289.03","282.00","290.82","281.23","56.54M","-1.33%"
"Mar 05, 2020","292.92","295.52","299.55","291.41","46.89M","-3.24%"
"Mar 04, 2020","302.74","296.44","303.40","293.13","54.79M","4.64%"
"Mar 03, 2020","289.32","303.67","304.00","285.80","79.87M","-3.18%"
"Mar 02, 2020","298.81","282.28","301.44","277.72","85.35M","9.31%"
"Feb 28, 2020","273.36","257.26","278.41","256.37","106.72M","-0.06%"
"Feb 27, 2020","273.52","281.10","286.00","272.96","80.15M","-6.54%"
"Feb 26, 2020","292.65","286.53","297.88","286.50","49.68M","1.59%"
"Feb 25, 2020","288.08","300.95","302.53","286.13","57.67M","-3.39%"
"Feb 24, 2020","298.18","297.26","304.18","289.23","55.55M","-4.75%"
"Feb 21, 2020","313.05","318.62","320.45","310.50","32.43M","-2.26%"
"Feb 20, 2020","320.30","322.63","324.65","318.21","25.14M","-1.03%"
"Feb 19, 2020","323.62","320.00","324.57","320.00","23.50M","1.45%"
"Feb 18, 2020","319.00","315.36","319.75","314.61","38.19M","-1.83%"
"Feb 14, 2020","324.95","324.74","325.98","322.85","20.03M","0.02%"
"Feb 13, 2020","324.87","324.19","326.22","323.35","23.69M","-0.71%"
